Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
P0118,APPROVED,Not Applicable,2024-09-06T15:20:16.600000Z,2024-09-06T15:27:44.469000Z,2024-09-06T15:48:51.634000Z,2024-09-06T15:30:36.967468Z,448.0,103,English,30,Female,White,Canada,Canada,Canada,English,Yes,Due to start a new job within the next month
P0070,APPROVED,Not Applicable,2024-09-06T15:20:31.469000Z,2024-09-06T15:22:44.141000Z,2024-09-06T15:48:52.011000Z,2024-09-06T15:22:50.806873Z,133.0,7,English,34,Male,Asian,Canada,Canada,Canada,English,No,Full-Time
P0077,APPROVED,Not Applicable,2024-09-06T15:20:36.398000Z,2024-09-06T15:23:36.964000Z,2024-09-06T15:48:52.269000Z,2024-09-06T15:23:37.861129Z,181.0,206,English,37,Female,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0085,APPROVED,Not Applicable,2024-09-06T15:20:41.929000Z,2024-09-06T15:24:48.641000Z,2024-09-06T15:48:52.585000Z,2024-09-06T15:24:49.274642Z,247.0,137,English,49,Female,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0097,APPROVED,Not Applicable,2024-09-06T15:20:46.051000Z,2024-09-06T15:27:14.256000Z,2024-09-06T15:48:52.835000Z,2024-09-06T15:27:14.795115Z,389.0,345,English,62,Female,White,Canada,Canada,Canada,English,No,Full-Time
P0083,APPROVED,Not Applicable,2024-09-06T15:20:57.013000Z,2024-09-06T15:24:12.598000Z,2024-09-06T15:48:53.089000Z,2024-09-06T15:24:13.169140Z,196.0,686,"English, French",26,Female,Black,Canada,Canada,Canada,English,No,Full-Time
P0072,APPROVED,Not Applicable,2024-09-06T15:20:58.247000Z,2024-09-06T15:23:10.277000Z,2024-09-06T15:48:53.349000Z,2024-09-06T15:23:11.080992Z,133.0,477,"Chinese, English",25,Male,Asian,Taiwan,Canada,Taiwan,English,No,Full-Time
P0074,APPROVED,Not Applicable,2024-09-06T15:21:06.999000Z,2024-09-06T15:23:29.811000Z,2024-09-06T15:48:53.604000Z,2024-09-06T15:23:30.372848Z,143.0,766,English,31,Male,White,Canada,Canada,Canada,English,No,Part-Time
P0073,APPROVED,Not Applicable,2024-09-06T15:21:08.844000Z,2024-09-06T15:24:07.721000Z,2024-09-06T15:48:53.853000Z,2024-09-06T15:24:08.361059Z,179.0,197,"English, Chinese",38,Female,Asian,China,Canada,China,Chinese,No,Full-Time
P0087,APPROVED,Not Applicable,2024-09-06T15:21:16.088000Z,2024-09-06T15:24:58.341000Z,2024-09-06T15:48:54.111000Z,2024-09-06T15:24:58.956229Z,223.0,585,"English, Farsi, French",41,Female,White,Iran,Canada,Canada,Farsi,No,DATA_EXPIRED
P0215,APPROVED,Not Applicable,2024-09-06T15:21:47.747000Z,2024-09-06T15:35:00.589000Z,2024-09-06T15:48:54.369000Z,2024-09-06T15:35:01.380366Z,793.0,197,English,36,Male,Black,Nigeria,Canada,Nigeria,English,No,Full-Time
P0088,APPROVED,Not Applicable,2024-09-06T15:21:42.597000Z,2024-09-06T15:31:19.251000Z,2024-09-06T15:48:54.626000Z,2024-09-06T15:32:10.180752Z,577.0,0,"English, French",36,Female,Mixed,Lesotho,Canada,Canada,English,No,Full-Time
P0075,APPROVED,Not Applicable,2024-09-06T15:21:44.489000Z,2024-09-06T15:23:23.438000Z,2024-09-06T15:48:54.873000Z,2024-09-06T15:23:24.016464Z,99.0,19,"French, English",38,Male,White,Canada,Canada,Canada,French,No,Full-Time
P0096,APPROVED,Not Applicable,2024-09-06T15:21:48.400000Z,2024-09-06T15:25:49.390000Z,2024-09-06T15:48:55.129000Z,2024-09-06T15:25:50.236893Z,241.0,121,English,44,Female,Asian,Canada,Canada,Canada,English,No,Full-Time
P0106,APPROVED,Not Applicable,2024-09-06T15:23:46.691000Z,2024-09-06T15:26:42.201000Z,2024-09-06T15:48:55.449000Z,2024-09-06T15:26:42.979356Z,176.0,8,"Urdu, English",20,Female,Other,Canada,Canada,Canada,Urdu,Yes,Part-Time
P0080,APPROVED,Not Applicable,2024-09-06T15:21:56.629000Z,2024-09-06T15:23:37.275000Z,2024-09-06T15:48:55.706000Z,2024-09-06T15:23:38.249149Z,101.0,644,"Urdu, English, French, Pashto",37,Male,Asian,Pakistan,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
P0084,APPROVED,Not Applicable,2024-09-06T15:22:04.440000Z,2024-09-06T15:24:32.287000Z,2024-09-06T15:48:55.951000Z,2024-09-06T15:24:32.956525Z,148.0,0,English,30,Male,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0111,APPROVED,Not Applicable,2024-09-06T15:23:54.664000Z,2024-09-06T15:26:44.612000Z,2024-09-06T15:48:56.210000Z,2024-09-06T15:26:45.101141Z,170.0,568,"English, French",50,Male,White,Canada,Canada,Canada,English,No,Full-Time
P0102,APPROVED,Not Applicable,2024-09-06T15:22:07.609000Z,2024-09-06T15:27:04.213000Z,2024-09-06T15:48:56.559000Z,2024-09-06T15:27:04.896206Z,297.0,1,"Chinese, French, German, English",29,Male,Black,Kenya,Canada,Kenya,English,Yes,DATA_EXPIRED
P0086,APPROVED,Not Applicable,2024-09-06T15:22:12.809000Z,2024-09-06T15:25:10.632000Z,2024-09-06T15:48:56.811000Z,2024-09-06T15:25:11.239490Z,178.0,17,English,29,Female,Black,Nigeria,Canada,Nigeria,English,No,Other
P0095,APPROVED,Not Applicable,2024-09-06T15:22:19.373000Z,2024-09-06T15:25:55.724000Z,2024-09-06T15:48:57.091000Z,2024-09-06T15:25:56.305138Z,217.0,56,English,39,Male,White,Canada,Canada,Canada,English,No,Full-Time
P0089,APPROVED,Not Applicable,2024-09-06T15:22:24.063000Z,2024-09-06T15:24:54.989000Z,2024-09-06T15:48:57.383000Z,2024-09-06T15:24:55.681475Z,151.0,40,English,46,Male,White,Canada,Canada,Canada,English,No,Full-Time
