Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
P0081,APPROVED,Not Applicable,2025-10-04T20:28:46.369000Z,2025-10-04T20:31:34.994000Z,2025-10-05T14:16:05.630000Z,2025-10-04T20:31:35.520140Z,169.0,1037,"Afrikaans, English, French, German, Norwegian",24,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
P0071,APPROVED,Not Applicable,2025-10-04T20:28:57.065000Z,2025-10-04T20:31:20.446000Z,2025-10-05T14:16:05.872000Z,2025-10-04T20:31:25.024041Z,144.0,582,English,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
P0035,APPROVED,Not Applicable,2025-10-04T20:28:54.848000Z,2025-10-04T20:31:28.896000Z,2025-10-05T14:16:06.130000Z,2025-10-04T20:31:29.487605Z,155.0,1023,"English, French",64,Male,White,Canada,Canada,Canada,English,No,Full-Time
P0034,APPROVED,Not Applicable,2025-10-04T20:28:50.456000Z,2025-10-04T20:30:20.050000Z,2025-10-05T14:16:07.060000Z,2025-10-04T20:30:25.521265Z,90.0,354,"Polish, English",27,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
P0076,APPROVED,Not Applicable,2025-10-04T20:29:10.708000Z,2025-10-04T20:31:45.973000Z,2025-10-05T14:16:07.384000Z,2025-10-04T20:31:47.972709Z,156.0,206,"Afrikaans, English, Dutch, French",56,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
P0084,APPROVED,Not Applicable,2025-10-04T20:28:53.868000Z,2025-10-04T20:31:49.079000Z,2025-10-05T14:16:07.704000Z,2025-10-04T20:31:53.196325Z,176.0,174,"Afrikaans, English",48,Female,White,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
P0057,APPROVED,Not Applicable,2025-10-04T20:28:58.549000Z,2025-10-04T20:31:04.815000Z,2025-10-05T14:16:07.989000Z,2025-10-04T20:31:05.252752Z,127.0,4807,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
P0101,APPROVED,Not Applicable,2025-10-04T20:29:05.553000Z,2025-10-04T20:31:32.116000Z,2025-10-05T14:16:08.287000Z,2025-10-04T20:31:37.143698Z,147.0,206,English,24,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
P0060,APPROVED,Not Applicable,2025-10-04T20:29:00.199000Z,2025-10-04T20:31:18.147000Z,2025-10-05T14:16:08.564000Z,2025-10-04T20:31:23.020199Z,138.0,868,English,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
P0053,APPROVED,Not Applicable,2025-10-04T20:28:57.239000Z,2025-10-04T20:31:03.121000Z,2025-10-05T14:16:08.817000Z,2025-10-04T20:31:04.664824Z,126.0,805,English,41,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
P0102,APPROVED,Not Applicable,2025-10-04T20:28:58.664000Z,2025-10-04T20:30:08.493000Z,2025-10-05T14:16:09.151000Z,2025-10-04T20:30:09.068967Z,70.0,478,English,20,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
P0067,APPROVED,Not Applicable,2025-10-04T20:28:58.317000Z,2025-10-04T20:31:34.638000Z,2025-10-05T14:16:09.440000Z,2025-10-04T20:31:39.173439Z,157.0,309,"English, Korean",21,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
P0068,APPROVED,Not Applicable,2025-10-04T20:28:59.810000Z,2025-10-04T20:31:26.823000Z,2025-10-05T14:16:09.689000Z,2025-10-04T20:31:28.229782Z,148.0,315,English,26,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
P0064,APPROVED,Not Applicable,2025-10-04T20:29:36.072000Z,2025-10-04T20:31:15.416000Z,2025-10-05T14:16:09.948000Z,2025-10-04T20:31:22.536025Z,100.0,1856,English,65,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0079,APPROVED,Not Applicable,2025-10-04T20:28:59.398000Z,2025-10-04T20:32:02.531000Z,2025-10-05T14:16:10.373000Z,2025-10-04T20:32:06.840416Z,184.0,591,English,35,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
P0038,APPROVED,Not Applicable,2025-10-04T20:29:00.244000Z,2025-10-04T20:30:27.785000Z,2025-10-05T14:16:10.618000Z,2025-10-04T20:30:28.204496Z,88.0,1056,"Polish, English",32,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
P0050,APPROVED,Not Applicable,2025-10-04T20:29:07.652000Z,2025-10-04T20:30:56.147000Z,2025-10-05T14:16:10.866000Z,2025-10-04T20:30:57.846586Z,109.0,4681,English,71,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
P0075,APPROVED,Not Applicable,2025-10-04T20:29:01.869000Z,2025-10-04T20:31:23.294000Z,2025-10-05T14:16:11.131000Z,2025-10-04T20:31:24.590351Z,142.0,701,"English, Afrikaans",21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
